Path,Sample Name,Tissue Category,Cell ID,Total Cells,Tissue Category Area (pixels),Cell Density (per megapixel),Cell X Position,Cell Y Position,"Nucleus DAPI Mean (Normalized Counts, Total Weighting)","Nucleus MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Nucleus CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Nucleus CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Nucleus BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Nucleus STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Nucleus BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Nucleus Autofluorescence Mean (Normalized Counts, Total Weighting)","Cytoplasm DAPI Mean (Normalized Counts, Total Weighting)","Cytoplasm MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Cytoplasm STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Cytoplasm Autofluorescence Mean (Normalized Counts, Total Weighting)","Membrane DAPI Mean (Normalized Counts, Total Weighting)","Membrane MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Membrane CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Membrane CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Membrane BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Membrane STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Membrane BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Membrane Autofluorescence Mean (Normalized Counts, Total Weighting)","Entire Cell DAPI Mean (Normalized Counts, Total Weighting)","Entire Cell MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Entire Cell CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Entire Cell CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Entire Cell STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Entire Cell Autofluorescence Mean (Normalized Counts, Total Weighting)"
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,287,,,,1194,337,41.79,2.035,1.525,17.227,21.988,6.925,5.638,16.86,14.911,1.474,1.048,18.124,20.363,5.831,6.293,22.058,7.217,1.307,2.011,17.016,14.324,6.739,5.484,17.029,29.253,1.772,1.562,17.323,19.915,6.703,5.708,17.747
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,288,,,,1009,334,38.827,1.784,2.199,16.237,61.612,12.397,9.969,26.971,12.867,1.273,2.075,15.948,29.429,10.13,7.157,20.755,10.678,1.184,8.998,17.798,21.216,8.989,6.255,19.569,28.349,1.567,3.713,16.543,47.381,11.268,8.684,24.313
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,289,,,,1530,335,17.042,1.13,2.41,23.464,41.354,7.04,4.219,18.108,3.72,1.051,0.815,22.507,43.966,9.44,3.753,21.084,4.285,1.162,3.998,23.108,35.498,9.951,3.91,20.182,10.497,1.122,2.516,23.154,40.25,8.394,4.029,19.348
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,290,,,,1343,337,37.3,1.158,0.761,9.537,13.446,10.072,4.886,15.858,12.029,0.834,0.801,8.904,11.114,7.387,3.927,15.732,6.459,0.659,0.832,7.97,9.085,5.951,3.685,15.44,24.48,0.968,0.787,9.022,11.893,8.504,4.392,15.729
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,291,,,,1093,338,16.777,2.592,0.141,22.032,38.181,7.812,7.76,21.319,2.773,2.616,0.248,20.798,15.445,6.222,6.379,15.611,0.579,2.166,0.412,17.189,11.725,4.915,5.095,11.985,10.745,2.507,0.218,20.786,28.355,6.906,6.942,18.289
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,292,,,,1427,339,20.131,2.301,1.096,8.176,10.832,6.63,4.939,9.665,7.006,1.66,0.949,7.755,11.877,5.251,4.014,10.734,3.14,1.576,0.489,7.408,10.866,5.371,3.322,10.921,13.608,2.006,0.927,7.916,11.049,6.065,4.383,10.167
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,293,,,,1462,340,11.11,1.861,0.704,42.715,93.804,9.98,4.897,32.773,1.937,2.134,1.471,29.537,36.12,7.708,5.06,21.68,0.373,2.165,1.932,22.674,22.471,6.846,4.545,15.342,6.619,1.991,1.158,35.164,64.656,8.755,4.848,26.283
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,294,,,,1137,341,53.66,2.378,2.209,11.726,10.117,6.341,6.347,11.056,18.602,1.816,1.347,11.405,10.509,5.375,5.316,14.245,5.03,1.445,1.284,9.859,10.523,4.901,4.775,13.917,34.337,2.031,1.8,11.204,10.3,5.784,5.744,12.434
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,295,,,,1383,342,27.231,1.251,3.159,9.531,9.996,3.428,4.712,12.165,7.616,1.368,3.411,11.398,9.427,3.587,4.348,15.584,2.559,1.373,4.76,10.396,9.975,3.534,3.945,14.535,17.759,1.302,3.572,10.096,9.879,3.483,4.466,13.378
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,296,,,,1318,344,38.794,1.777,1.373,16.394,42.206,5.625,4.7,23.248,12.168,1.556,1.826,13.182,24.829,4.834,3.893,18.926,6.784,1.565,1.59,12.794,18.674,4.907,3.414,15.452,26.664,1.688,1.506,14.99,33.696,5.317,4.261,20.695
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,297,,,,1519,341,13.615,1.008,2.085,35.021,47.057,11.392,5.616,23.844,4.967,0.633,1.698,18.306,24.34,6.547,3.275,14.434,4.836,0.649,5.653,18.707,20.997,6.686,3.187,14.741,9.782,0.847,2.944,27.782,36.208,9.3,4.565,19.79
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,298,,,,1198,348,34.795,0.82,0.025,9.557,13.422,20.804,4.704,17.363,14.731,0.739,0.028,8.789,7.063,15.43,3.706,15.412,7.763,0.474,0.419,7.67,6.207,12.399,3.39,13.435,24.31,0.718,0.125,8.941,10.44,17.702,4.19,16.016
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,299,,,,1008,353,13.232,2.955,0.017,10.407,54.489,13.036,3.4,23.766,4.329,3.128,0.058,7.917,28.604,13.32,3.032,19.383,1.453,3.062,0.161,7.713,18.595,11.453,3.038,16.831,8.718,3.015,0.058,9.282,40.992,12.734,3.242,21.286
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,300,,,,1447,353,22.202,1.748,1.05,20.829,65.904,8.316,4.087,22.973,8.472,1.629,2.152,20.312,60.085,8.78,3.782,23.497,3.337,1.811,2.799,18.605,42.461,7.791,3.831,19.905,15.401,1.741,1.65,20.226,59.483,8.279,3.973,22.365
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,301,,,,1398,354,25.415,1.64,0.519,34.279,35.262,7.302,3.883,18.167,6.493,1.21,1.239,25.112,19.19,5.547,3.186,17.607,1.83,1.112,1.708,21.545,17.919,5.512,2.861,15.717,16.251,1.434,0.934,29.544,28.086,6.542,3.511,17.5
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,302,,,,1362,359,36.705,1.421,2.11,11.557,26.811,5.056,4.048,17.164,11.889,1.178,3.32,9.128,20.131,5.034,3.167,17.086,8.907,1.494,3.188,8.901,17.244,4.865,3,15.001,25.801,1.394,2.578,10.505,23.397,5.008,3.647,16.653
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,303,,,,1246,362,9.968,2.356,0.007,7.032,52.758,15.335,1.635,22.179,1.767,1.69,0.056,7.162,22.241,15.647,1.237,20.992,0.236,1.52,0.113,7.152,12.789,13.148,1.521,15.951,5.608,1.99,0.046,7.092,35.533,14.82,1.519,20.265
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,304,,,,954,364,31.985,3.38,4.917,16.795,36.802,12.245,10.836,23.428,11.316,2.39,2.443,11.296,18.001,9.031,7.818,14.483,6.119,1.877,9.205,11.643,18.662,7.639,6.504,17.887,22.608,2.866,5.618,14.728,29.603,10.643,9.33,20.766
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,305,,,,1175,370,48.254,1.921,2.979,9.373,10.285,5.973,5.82,12.05,15.91,1.478,2.104,9.289,9.279,5.396,4.764,13.427,6.279,1.445,1.325,9.922,8.357,5.86,4.39,12.174,29.609,1.692,2.336,9.501,9.539,5.811,5.196,12.399
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,307,,,,1145,368,18.168,2.781,0.084,17.897,33.245,10.539,7.182,22.734,4.787,1.875,0.128,12.377,13.415,8.571,4.913,17.101,0.823,1.665,0.434,11.144,9.57,7.225,4.198,13.013,12.051,2.379,0.166,15.458,24.608,9.479,6.136,19.65
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,309,,,,1350,370,22.716,2.219,0.632,7.303,17.091,7.462,3.274,17.209,7.12,2.239,0.494,6.603,14.82,8.841,2.704,19.698,5.354,2.187,0.6,6.916,14.843,8.718,2.689,20.49,15.542,2.215,0.598,7.076,16.115,8.029,3.024,18.478
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,310,,,,1163,375,10.382,2.503,0.518,11.366,34.401,7.804,6.139,18.114,4.016,2.335,0.424,8.124,21.357,7.392,5.143,16.351,2.016,2.018,0.953,7.545,13.635,6.378,4.571,12.794,7.305,2.36,0.604,9.902,27.248,7.398,5.597,16.559
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,311,,,,1467,378,7.433,0.754,3.68,31.567,40.948,9.451,3.903,21.438,1.502,0.617,8.078,20.069,17.754,6.958,3.823,15.131,0.725,0.53,8.362,17.035,13.715,6.554,3.246,12.788,4.09,0.659,6.084,24.693,27.616,8.026,3.712,17.493
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,312,,,,950,374,10.737,2.099,4.862,16.401,45.789,8.221,5.604,19.805,5.651,2.722,2.676,14.249,25.723,8.43,5.815,18.642,2.374,2.371,6.718,14.916,16.197,7.714,6.095,17.185,7.468,2.28,5.043,15.616,33.882,8.108,5.782,18.852
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,313,,,,1421,375,17.623,2.752,0.046,13.76,44.486,11.533,2.711,19.216,7.692,2.072,0.066,10.465,21.869,10.995,2.794,16.69,3.37,1.889,0.095,8.247,15.997,9.256,2.985,14.362,12.752,2.445,0.06,11.963,34.307,10.922,2.788,17.693
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,315,,,,924,389,9.254,1.852,0.005,13.499,24.576,11.271,7.129,17.31,2.227,1.871,0.048,10.639,7.867,8.098,5.367,10.295,1.36,1.961,0.198,9.704,7.74,6.397,4.82,9.527,5.889,1.883,0.062,11.983,17.061,9.422,6.202,13.975
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,316,,,,968,389,48.157,3.008,1.858,19.96,20.486,6.714,8.178,14.308,13.838,1.937,1.053,21.305,13.494,6.432,6.774,14.105,4.259,1.623,0.517,21.274,11.249,6.659,5.547,12.879,31.726,2.491,1.399,20.508,17.069,6.652,7.307,13.933
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,318,,,,1297,391,28.503,1.451,1.472,7.778,8.088,7.975,5.831,14.601,13.58,1.386,1.244,6.216,7.229,6.55,3.902,10.481,8.198,1.139,1.107,6.763,7.952,6.381,3.721,11.947,20.567,1.358,1.337,7.235,7.899,7.307,4.938,13.175
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,319,,,,1315,390,31.29,1.182,0.165,19.32,36.644,10.2,2.794,20.936,13.503,1.173,0.228,22.128,27.584,10.025,3.105,21.338,7.009,1.278,0.556,19.521,19.06,9.729,3.345,20.491,21.723,1.203,0.272,19.959,30.521,10.05,2.992,20.914
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,320,,,,1045,395,26.476,4.565,1.811,9.978,27.137,6.94,7.047,16.455,7.66,3.289,4.755,10.129,17.482,5.414,4.992,13.166,3.575,2.459,5.843,8.708,13.595,4.708,4.048,11.366,16.954,3.789,3.406,9.713,21.831,6.08,5.89,14.535
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,321,,,,1085,392,46.292,2.936,9.958,14.406,32.422,5.686,7.428,20.592,14.628,1.895,7.419,10.582,17.734,4.17,6.279,16.864,7.787,1.669,6.625,9.413,12.013,3.873,5.045,11.817,31.922,2.464,8.751,12.594,25.191,5.005,6.687,17.958
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,322,,,,1412,396,12.177,2.976,0.071,8.737,28.82,11.918,1.879,17.391,1.756,2.065,0.473,5.344,14.723,8.449,1.35,15.552,0.356,1.679,0.408,5.121,10.606,7.303,1.385,14.2,6.978,2.457,0.243,7.101,21.246,10.022,1.641,16.204
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,323,,,,1229,399,23.261,2.432,0.195,41.039,5.61,16.386,4.575,23.076,6.056,2.23,4.407,57.676,7.353,17.479,4.286,26.507,0.245,1.908,4.849,60.409,9.502,18.129,4.114,27.29,14.656,2.278,2.096,48.754,6.809,16.991,4.415,24.713
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,325,,,,971,401,27.318,1.995,0.033,13.187,66.433,13.824,5.679,23.451,10.532,2.277,0.078,12.496,44.551,11.639,4.119,20.594,4.479,2.126,0.175,12.547,31.906,9.766,3.675,18.387,19.251,2.075,0.072,12.921,54.869,12.535,4.955,21.819
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,326,,,,895,403,27.79,1.372,0.01,30.922,81.797,16.932,4.431,33.305,5.477,2.032,0.08,13.207,47.287,7.926,5.414,20.772,1.04,1.844,0.079,11.058,25.434,6.8,5.098,14.052,17.329,1.61,0.04,22.924,62.256,12.859,4.777,26.481
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,327,,,,919,404,24.129,3.694,0.625,19.595,53.073,8.2,8.299,22.38,3.603,3.248,0.301,15.2,24.179,6.725,7.613,17.964,1.597,3.318,0.483,14.202,16.774,6.467,7.1,13.444,15.929,3.541,0.542,17.715,40.527,7.586,7.928,19.72
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,328,,,,1015,405,16.794,1.085,0.313,10.62,30.854,7.343,5.089,15.033,8.262,1.251,0.47,10.033,9.09,5.155,4.22,10.199,6.071,1.022,0.997,8.785,7.909,4.529,3.84,8.805,12.795,1.106,0.489,10.114,21.583,6.304,4.649,12.735
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,329,,,,1309,415,11.79,1.655,0.802,18.681,49.558,7.543,5.511,27.06,6.168,1.149,1.42,17.514,38.714,7.762,5.2,28.121,3.197,0.906,1.301,16.451,39.059,8.708,4.649,27.885,8.492,1.365,1.045,17.876,44.831,7.895,5.224,27.468
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,330,,,,1031,412,23.506,1.767,1.174,10.876,32.906,5.097,5.629,13.82,7.982,1.497,1.566,9.456,16.204,4.125,4.138,11.081,3.452,1.387,2.649,8.195,13.018,3.65,3.587,9.839,15.254,1.616,1.618,9.915,24.439,4.534,4.808,12.256
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,331,,,,1247,414,32.902,1.021,3.95,10.427,8.881,3.63,3.772,12.28,10.186,0.938,4.485,11.007,10.21,3.531,2.804,12.346,2.499,0.736,4.724,11.487,9.019,3.049,2.509,11.408,20.138,0.929,4.266,10.827,9.202,3.458,3.236,12.068
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,332,,,,1221,416,13.276,0.819,0.274,26.94,47.346,10.947,5.794,24.79,4.005,1.032,1.69,28.004,15.767,9.644,4.735,18.787,0.671,1.297,1.813,28.074,10.028,9.817,4.308,16.961,8.217,0.981,0.953,27.445,31.477,10.392,5.205,21.595
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,333,,,,894,422,26.735,2.945,0.566,14.844,51.523,7.203,7.316,19.811,12.93,2.241,0.401,12.8,29.238,5.968,6.838,17.43,10.858,2.246,0.394,11.443,25.135,5.721,6.398,14.668,20.08,2.631,0.49,13.618,40.606,6.594,7.001,18.112
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,335,,,,879,427,19.229,2.299,0.375,12.477,41.801,7.141,5.902,14.421,4.783,2.122,0.304,9.917,21.818,6.108,5.113,12.801,2.051,2.439,0.411,9.709,17.283,5.82,5.187,11.792,11.895,2.295,0.368,11.245,31.469,6.594,5.557,13.425
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,336,,,,922,429,16.517,1.323,0.012,33.267,83.136,19.357,4.203,38.012,2.49,3.016,0.004,17.276,36.102,8.63,6.308,18.816,0.333,3.232,0.153,16.018,21.523,7.707,6.242,14.404,10.343,2.058,0.041,26.492,60.824,14.795,5.044,29.243
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,337,,,,939,431,39.699,4.06,0.366,25.413,51.359,8.425,7.768,19.348,8.786,3.545,0.849,33.054,26.854,8.217,6.819,20.025,2.097,3.258,1.438,32.154,19.175,7.95,6.213,18.229,24.89,3.773,0.708,28.488,39.075,8.274,7.222,19.227
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,338,,,,1007,431,40.342,2.64,1.175,19.658,44.092,7.11,7.329,16.901,13.468,1.924,1.413,15.686,24.067,5.662,5.655,14.91,3.817,1.551,1.169,13.877,16.061,4.883,4.739,12.739,25.509,2.216,1.224,17.369,32.834,6.246,6.326,15.435
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,339,,,,1032,432,25.624,1.778,6.679,19.105,73.745,9.968,7.222,31.074,6.765,1.138,7.046,12.448,29.601,5.689,5.991,18.817,2.002,0.983,9.826,9.93,12.29,4.411,5.206,13.362,17.031,1.488,7.509,15.866,52.111,7.97,6.544,24.907
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,340,,,,1324,436,18.678,1.263,0.254,25.469,99.473,10.109,2.487,37.095,9.052,1.631,0.253,19.067,74.717,8.289,3.08,31.332,5.075,1.875,0.544,16.594,53.35,6.814,3.384,27.599,12.983,1.504,0.329,21.726,81.96,8.846,2.853,33.338
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,341,,,,1118,443,18.753,1.434,1.496,7.545,11.21,3.411,3.164,9.236,4.811,2.163,1.084,12.192,14.388,4.706,3.686,12.855,1.043,2.169,0.88,15.026,13.739,4.982,3.769,11.424,11.573,1.763,1.262,10.319,12.482,4.06,3.419,10.518
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,342,,,,1182,443,16.416,1.316,20.585,26.801,60.784,7.713,7.941,35.445,6.212,0.522,19.431,21.524,30.85,5.395,5.234,26.664,2.489,0.329,21.244,19.204,15.738,4.626,4.825,24.834,11.124,0.928,20.538,23.967,44.226,6.53,6.68,31.23
